client_id,client_type,age,acquisition_purpose,total_investment,num_properties,cluster,cluster_name
C0053,Individual,72,Home,1120539.44,4,0,Individual Home Buyers
C0054,Company,59,Investment,2109277.6,6,0,Individual Home Buyers
C0055,Individual,53,Home,1178979.21,4,0,Individual Home Buyers
C0056,Individual,62,Investment,1579301.36,4,0,Individual Home Buyers
C0057,Individual,93,Home,2020519.52,5,0,Individual Home Buyers
C0058,Company,57,Investment,1441406.17,5,0,Individual Home Buyers
C0059,Individual,66,Home,1278854.25,4,0,Individual Home Buyers
C0060,Individual,54,Home,1355662.25,4,0,Individual Home Buyers
C0061,Individual,59,Home,1306907.58,4,0,Individual Home Buyers
C0062,Individual,52,Home,1489333.49,5,0,Individual Home Buyers
C0063,Individual,84,Home,1625480.88,5,0,Individual Home Buyers
C0064,Individual,52,Investment,1448881.28,4,1,Corporate Buyers
C0065,Individual,54,Home,1557125.73,4,0,Individual Home Buyers
C0066,Individual,52,Investment,1107164.17,4,0,Individual Home Buyers
C0067,Individual,49,Home,1431941.84,5,0,Individual Home Buyers
C0068,Individual,60,Home,1572779.33,4,0,Individual Home Buyers
C0069,Individual,56,Investment,1439142.47,5,0,Individual Home Buyers
C0070,Individual,79,Home,1521570.62,5,0,Individual Home Buyers
C0071,Individual,41,Home,1150384.09,5,0,Individual Home Buyers
C0072,Individual,73,Investment,2246488.58,6,0,Individual Home Buyers
C0073,Individual,61,Investment,1413902.33,4,0,Individual Home Buyers
C0074,Individual,67,Investment,1709458.65,5,0,Individual Home Buyers
C0075,Individual,56,Home,1269395.74,4,0,Individual Home Buyers
C0076,Individual,70,Home,1905852.09,6,0,Individual Home Buyers
C0077,Individual,46,Home,1880012.18,5,0,Individual Home Buyers
C0078,Individual,78,Home,1685882.39,4,0,Individual Home Buyers
C0079,Individual,72,Investment,1456436.3,4,1,Corporate Buyers
C0080,Individual,77,Investment,1427531.56,5,0,Individual Home Buyers
C0081,Individual,83,Home,1522144.26,4,0,Individual Home Buyers
C0082,Individual,45,Investment,1282267.95,5,0,Individual Home Buyers
C0083,Individual,88,Home,1513641.46,6,0,Individual Home Buyers
C0084,Individual,78,Home,1762231.92,5,0,Individual Home Buyers
C0085,Individual,60,Home,1185505.46,4,0,Individual Home Buyers
C0086,Individual,58,Home,1928188.61,5,0,Individual Home Buyers
C0087,Individual,47,Home,1681153.28,4,0,Individual Home Buyers
C0088,Individual,90,Investment,1450519.57,6,0,Individual Home Buyers
C0089,Individual,77,Home,1041853.81,4,0,Individual Home Buyers
C0090,Individual,44,Home,980850.42,5,0,Individual Home Buyers
C0091,Individual,67,Home,1356644.74,4,0,Individual Home Buyers
C0092,Individual,55,Home,2817926.96,8,0,Individual Home Buyers
C0093,Individual,64,Home,1732558.38,5,0,Individual Home Buyers
C0094,Individual,78,Home,1062675.82,5,0,Individual Home Buyers
C0095,Individual,62,Home,1668973.02,6,0,Individual Home Buyers
C0096,Individual,41,Investment,1363013.17,4,0,Individual Home Buyers
C0097,Individual,83,Home,2189906.04,7,0,Individual Home Buyers
C0098,Individual,77,Home,1131592.65,4,1,Corporate Buyers
C0099,Individual,85,Investment,2000308.58,6,0,Individual Home Buyers
C0100,Individual,57,Home,1449544.65,4,0,Individual Home Buyers
C0101,Individual,75,Home,1125013.8,4,0,Individual Home Buyers
C0102,Individual,79,Investment,3403263.85,9,0,Individual Home Buyers
C0103,Individual,53,Home,1483838.77,5,0,Individual Home Buyers
C0104,Individual,48,Home,1677155.01,5,0,Individual Home Buyers
C0105,Individual,67,Investment,1328084.36,5,0,Individual Home Buyers
C0106,Individual,73,Home,957679.27,4,0,Individual Home Buyers
C0107,Individual,67,Home,1715058.23,5,0,Individual Home Buyers
C0108,Individual,68,Home,1998798.72,6,0,Individual Home Buyers
C0109,Individual,93,Investment,1995551.09,5,0,Individual Home Buyers
C0110,Individual,67,Investment,1205555.46,5,0,Individual Home Buyers
C0111,Individual,47,Home,1198421.22,4,0,Individual Home Buyers
C0112,Individual,66,Investment,1775142.2,5,0,Individual Home Buyers
C0113,Individual,77,Investment,1414433.46,4,0,Individual Home Buyers
C0114,Individual,64,Home,1124004.05,4,0,Individual Home Buyers
C0115,Individual,48,Home,1757354.59,5,0,Individual Home Buyers
C0116,Individual,71,Investment,2484590.08,8,0,Individual Home Buyers
C0117,Individual,62,Investment,2884556.25,8,1,Corporate Buyers
C0118,Individual,78,Investment,1218377.19,4,0,Individual Home Buyers
C0119,Individual,84,Home,1603043.92,4,0,Individual Home Buyers
C0120,Individual,73,Home,1753587.39,5,0,Individual Home Buyers
C0121,Individual,76,Home,1169150.31,5,0,Individual Home Buyers
C0122,Individual,53,Home,1412560.68,4,0,Individual Home Buyers
C0123,Individual,64,Home,1821348.69,5,0,Individual Home Buyers
C0124,Individual,63,Home,1613985.08,5,0,Individual Home Buyers
C0125,Individual,50,Home,1341108.25,4,0,Individual Home Buyers
C0126,Individual,54,Investment,1319929.46,5,0,Individual Home Buyers
C0127,Individual,52,Home,967474.23,4,0,Individual Home Buyers
C0128,Company,63,Investment,1639392.95,5,0,Individual Home Buyers
C0129,Individual,53,Investment,1748372.75,4,0,Individual Home Buyers
C0130,Individual,67,Home,1488042.88,4,0,Individual Home Buyers
C0131,Individual,55,Home,1428058.55,5,0,Individual Home Buyers
C0132,Individual,61,Home,1203775.04,4,0,Individual Home Buyers
C0133,Individual,80,Investment,1449799.93,4,0,Individual Home Buyers
C0134,Individual,94,Investment,1761669.87,5,1,Corporate Buyers
C0135,Individual,87,Investment,1221442.92,4,0,Individual Home Buyers
C0136,Individual,53,Home,1892554.72,5,0,Individual Home Buyers
C0137,Individual,69,Home,989750.45,4,0,Individual Home Buyers
C0138,Individual,87,Investment,1367824.55,5,0,Individual Home Buyers
C0139,Individual,57,Home,1807366.3,5,0,Individual Home Buyers
C0140,Individual,74,Home,1559561.53,5,0,Individual Home Buyers
C0141,Individual,40,Home,1765019.09,5,0,Individual Home Buyers
C0142,Individual,48,Home,1673770.19,5,0,Individual Home Buyers
C0143,Individual,68,Home,2389960.3,8,0,Individual Home Buyers
C0144,Individual,72,Home,1897739.74,5,0,Individual Home Buyers
C0145,Individual,62,Home,1746571.55,5,0,Individual Home Buyers
C0146,Individual,63,Home,1481536.39,4,0,Individual Home Buyers
C0147,Individual,78,Home,1398309.27,5,0,Individual Home Buyers
C0148,Individual,57,Investment,1700383.7,4,0,Individual Home Buyers
C0149,Individual,71,Investment,1049009,4,1,Corporate Buyers
C0150,Individual,58,Home,1846066.58,4,0,Individual Home Buyers
C0151,Individual,50,Home,1589086.32,5,0,Individual Home Buyers
C0152,Individual,59,Investment,2539205.93,7,0,Individual Home Buyers
C0153,Individual,43,Home,1560375.26,5,0,Individual Home Buyers
C0154,Individual,61,Home,2142457.31,5,0,Individual Home Buyers
C0155,Company,51,Investment,1622885.53,5,0,Individual Home Buyers
C0156,Individual,60,Home,1344903.47,4,0,Individual Home Buyers
C0157,Individual,74,Home,1060400.03,4,0,Individual Home Buyers
C0158,Individual,47,Investment,1439477.66,4,0,Individual Home Buyers
C0159,Individual,84,Home,1596507.45,4,0,Individual Home Buyers
C0160,Individual,67,Home,1679716.96,5,0,Individual Home Buyers
C0161,Individual,75,Home,2534264.26,9,0,Individual Home Buyers
C0162,Individual,73,Home,1135363.52,4,0,Individual Home Buyers
C0163,Individual,40,Investment,1506594.21,4,0,Individual Home Buyers
C0164,Individual,40,Home,1436152.54,4,0,Individual Home Buyers
C0165,Individual,70,Home,1276849.33,3,0,Individual Home Buyers
C0166,Individual,42,Home,1273643.37,4,0,Individual Home Buyers
C0167,Individual,71,Home,2749577.33,7,1,Corporate Buyers
C0168,Individual,66,Home,1491785.87,4,0,Individual Home Buyers
C0169,Individual,36,Investment,688864.2,3,0,Individual Home Buyers
C0170,Individual,77,Home,1161316.17,3,0,Individual Home Buyers
C0171,Individual,35,Investment,1278753.71,4,0,Individual Home Buyers
C0172,Individual,34,Home,1681471.91,4,0,Individual Home Buyers
C0173,Individual,50,Home,2619968.43,8,0,Individual Home Buyers
C0174,Individual,44,Investment,865359.73,3,0,Individual Home Buyers
C0175,Individual,64,Home,1606138.12,4,0,Individual Home Buyers
C0176,Individual,33,Home,2681927.91,6,0,Individual Home Buyers
C0177,Individual,75,Home,2269897.21,7,1,Corporate Buyers
C0178,Individual,74,Home,2665917.96,7,0,Individual Home Buyers
C0179,Individual,40,Investment,2131372.11,8,0,Individual Home Buyers
C0180,Individual,83,Home,2660292.37,7,0,Individual Home Buyers
C0181,Individual,56,Home,2047189.62,7,0,Individual Home Buyers
C0182,Individual,55,Investment,3082362.35,8,1,Corporate Buyers
C0183,Individual,38,Home,1883106.92,7,0,Individual Home Buyers
C0184,Individual,32,Home,2618938.16,6,0,Individual Home Buyers
C0185,Individual,81,Home,2491911.81,7,0,Individual Home Buyers
C0186,Individual,44,Home,2674286.63,8,0,Individual Home Buyers
C0187,Individual,36,Home,2066651.14,6,0,Individual Home Buyers
C0188,Individual,86,Home,2891447.6,7,0,Individual Home Buyers
C0189,Individual,68,Home,2209659.42,7,0,Individual Home Buyers
C0190,Individual,55,Home,2276701.17,7,0,Individual Home Buyers
C0191,Individual,49,Home,2172926.76,8,0,Individual Home Buyers
C0192,Individual,42,Investment,2900509.1,7,1,Corporate Buyers
C0193,Individual,58,Investment,1933778.24,7,0,Individual Home Buyers
C0194,Individual,73,Home,2759372.27,7,1,Corporate Buyers
C0195,Individual,79,Home,2102233.85,7,0,Individual Home Buyers
C0196,Individual,69,Investment,2611736.44,6,0,Individual Home Buyers
C0197,Individual,82,Home,2775768.6,8,0,Individual Home Buyers
C0198,Individual,50,Home,2399689.67,8,0,Individual Home Buyers
C0199,Individual,68,Home,2582959.87,7,0,Individual Home Buyers
C0200,Individual,82,Home,1071359.39,4,0,Individual Home Buyers
C0201,Individual,58,Home,1298787.54,4,0,Individual Home Buyers
C0202,Individual,30,Home,1019272.59,3,1,Corporate Buyers
C0203,Individual,70,Home,1242478.83,4,0,Individual Home Buyers
C0204,Individual,79,Home,934432.98,3,0,Individual Home Buyers
C0205,Individual,58,Home,949224.48,3,0,Individual Home Buyers
C0206,Individual,69,Home,853060.93,3,0,Individual Home Buyers
C0207,Individual,82,Investment,889948.76,3,0,Individual Home Buyers
C0208,Individual,40,Home,1199654.38,4,1,Corporate Buyers
C0209,Individual,77,Investment,979868.13,4,0,Individual Home Buyers
C0210,Individual,83,Home,1346156.55,4,0,Individual Home Buyers
C0211,Individual,54,Home,1254240.07,4,0,Individual Home Buyers
C0212,Individual,70,Home,1068278.76,3,0,Individual Home Buyers
C0213,Individual,50,Investment,809691.13,3,0,Individual Home Buyers
C0214,Individual,80,Investment,1070534.64,3,1,Corporate Buyers
C0215,Individual,27,Investment,1032856.46,3,1,Corporate Buyers
C0216,Individual,27,Home,1352642.34,4,0,Individual Home Buyers
C0217,Individual,42,Home,1238434.91,4,0,Individual Home Buyers
C0218,Individual,56,Home,836639.27,3,0,Individual Home Buyers
C0219,Individual,38,Home,1267653.57,4,0,Individual Home Buyers
C0220,Individual,75,Investment,1060812.68,3,1,Corporate Buyers
C0221,Company,39,Home,1377133.6,4,0,Individual Home Buyers
C0222,Individual,70,Investment,1223560.82,3,0,Individual Home Buyers
C0223,Individual,53,Investment,969341.87,4,0,Individual Home Buyers
C0224,Individual,66,Home,1189255.63,3,0,Individual Home Buyers
C0225,Individual,78,Home,1120626.94,4,0,Individual Home Buyers
C0226,Individual,68,Home,1571251.03,3,0,Individual Home Buyers
C0227,Individual,82,Home,942245.37,3,0,Individual Home Buyers
C0228,Individual,74,Investment,606605.72,3,0,Individual Home Buyers
C0229,Individual,45,Investment,892220.13,3,0,Individual Home Buyers
C0230,Company,49,Investment,1457429.02,4,0,Individual Home Buyers
C0231,Individual,33,Investment,729893.08,3,0,Individual Home Buyers
C0232,Individual,64,Home,1276710.49,4,0,Individual Home Buyers
C0233,Individual,29,Home,1105806.54,4,1,Corporate Buyers
C0234,Individual,47,Home,839967.04,3,0,Individual Home Buyers
C0235,Individual,77,Home,1268586.58,4,0,Individual Home Buyers
C0236,Individual,54,Home,1321475.69,3,1,Corporate Buyers
C0237,Individual,42,Home,1392353.31,3,0,Individual Home Buyers
C0238,Individual,44,Home,1125732.72,3,0,Individual Home Buyers
C0239,Individual,53,Home,1352763.67,4,0,Individual Home Buyers
C0240,Individual,84,Investment,935028.28,3,0,Individual Home Buyers
C0241,Individual,64,Home,1025934.71,3,3,Luxury Investors
C0242,Individual,28,Home,1358315.73,4,0,Individual Home Buyers
C0243,Individual,48,Home,1382777.89,4,0,Individual Home Buyers
C0244,Individual,28,Home,1046652.28,3,0,Individual Home Buyers
C0245,Individual,52,Investment,1354584.5,3,0,Individual Home Buyers
C0246,Individual,34,Home,1024485.26,3,1,Corporate Buyers
C0247,Individual,61,Home,1696540.52,4,0,Individual Home Buyers
C0248,Individual,58,Home,1035934.63,3,0,Individual Home Buyers
C0249,Individual,58,Investment,1142995.52,4,0,Individual Home Buyers
C0250,Individual,79,Home,982306.66,3,1,Corporate Buyers
C0251,Individual,50,Home,463611.95,3,0,Individual Home Buyers
C0252,Individual,73,Investment,1082221.48,3,0,Individual Home Buyers
C0253,Individual,32,Home,1239226.11,4,0,Individual Home Buyers
C0254,Individual,70,Home,1332152.57,4,0,Individual Home Buyers
C0255,Individual,65,Investment,1689083.06,4,1,Corporate Buyers
C0256,Individual,36,Home,1150229.15,3,0,Individual Home Buyers
C0257,Individual,52,Home,1145456.23,3,0,Individual Home Buyers
C0258,Individual,35,Home,1001712.37,3,1,Corporate Buyers
C0259,Individual,36,Home,779396.41,3,0,Individual Home Buyers
C0260,Individual,80,Investment,1057192.79,4,0,Individual Home Buyers
C0261,Company,41,Investment,2094623.1,4,0,Individual Home Buyers
C0262,Individual,79,Home,1233260.4,3,0,Individual Home Buyers
C0263,Individual,45,Investment,969140.41,3,0,Individual Home Buyers
C0264,Individual,34,Home,1127766.02,4,0,Individual Home Buyers
C0265,Company,59,Home,1708031.99,4,1,Corporate Buyers
C0266,Individual,49,Home,931646.38,3,0,Individual Home Buyers
C0267,Individual,78,Home,1314495.01,4,0,Individual Home Buyers
C0268,Individual,67,Investment,1108939.86,4,0,Individual Home Buyers
C0269,Individual,57,Home,1049110.08,3,0,Individual Home Buyers
C0270,Individual,82,Home,924009.9,3,0,Individual Home Buyers
C0271,Individual,54,Investment,1295689.37,4,0,Individual Home Buyers
C0272,Individual,33,Home,1439584.37,4,1,Corporate Buyers
C0273,Individual,39,Investment,682452.64,3,0,Individual Home Buyers
C0274,Individual,76,Home,1343449.34,3,0,Individual Home Buyers
C0275,Individual,26,Home,1237500.3,4,0,Individual Home Buyers
C0276,Individual,73,Home,1011195.98,3,0,Individual Home Buyers
C0277,Individual,72,Investment,1123449.53,3,0,Individual Home Buyers
C0278,Individual,71,Investment,1442538.67,3,0,Individual Home Buyers
C0279,Individual,59,Home,1012986.25,3,0,Individual Home Buyers
C0280,Individual,82,Home,1282020.93,4,0,Individual Home Buyers
C0281,Individual,49,Home,1256275.37,3,0,Individual Home Buyers
C0282,Individual,29,Investment,973863.8,4,0,Individual Home Buyers
C0283,Individual,64,Home,1118599.47,4,0,Individual Home Buyers
C0284,Individual,49,Home,1251975.85,4,0,Individual Home Buyers
C0285,Individual,27,Investment,1679056.13,4,1,Corporate Buyers
C0286,Individual,30,Home,859353.09,3,1,Corporate Buyers
C0287,Individual,36,Home,1171265.03,3,1,Corporate Buyers
C0288,Individual,29,Investment,1364289.23,4,0,Individual Home Buyers
C0289,Individual,33,Investment,1533862.35,4,0,Individual Home Buyers
C0290,Individual,64,Home,1215398.18,3,0,Individual Home Buyers
C0291,Individual,73,Home,1322506.76,3,0,Individual Home Buyers
C0292,Individual,81,Home,1442818.34,4,0,Individual Home Buyers
C0293,Individual,33,Investment,1580876.65,4,0,Individual Home Buyers
C0294,Individual,63,Home,1027250.91,4,0,Individual Home Buyers
C0295,Individual,59,Home,1350375.73,3,1,Corporate Buyers
C0296,Individual,42,Home,1142875.46,3,1,Corporate Buyers
C0297,Individual,54,Investment,1709184.75,4,1,Corporate Buyers
C0298,Individual,54,Home,1262479.23,4,0,Individual Home Buyers
C0299,Individual,49,Home,1177661.76,4,1,Corporate Buyers
C0300,Individual,67,Home,844956.55,3,1,Corporate Buyers
C0301,Individual,67,Home,1045776.52,3,0,Individual Home Buyers
C0302,Individual,50,Investment,1654300.33,4,0,Individual Home Buyers
C0303,Individual,69,Investment,1519113.12,4,0,Individual Home Buyers
C0304,Individual,67,Investment,1685753.28,4,0,Individual Home Buyers
C0305,Individual,31,Home,1327736.23,3,0,Individual Home Buyers
C0306,Individual,38,Home,1399698.79,4,0,Individual Home Buyers
C0307,Individual,34,Home,1490170.38,4,0,Individual Home Buyers
C0308,Individual,54,Investment,1176582.54,3,1,Corporate Buyers
C0309,Individual,69,Home,1382649.58,3,0,Individual Home Buyers
C0310,Individual,34,Home,1389329.62,3,1,Corporate Buyers
C0311,Individual,74,Home,1632999.56,4,0,Individual Home Buyers
C0312,Individual,85,Home,1105668.66,4,0,Individual Home Buyers
C0313,Company,52,Home,1091085.93,3,0,Individual Home Buyers
C0314,Individual,44,Investment,1040795.02,3,0,Individual Home Buyers
C0315,Individual,39,Investment,1178606.56,4,0,Individual Home Buyers
C0316,Individual,29,Investment,1792447.27,4,1,Corporate Buyers
C0317,Individual,27,Investment,1248444.31,3,0,Individual Home Buyers
C0318,Individual,52,Home,871968.67,3,1,Corporate Buyers
C0319,Company,31,Home,2061054.65,4,0,Individual Home Buyers
C0320,Individual,42,Home,1317732.09,3,0,Individual Home Buyers
C0321,Individual,34,Investment,1701753.71,4,0,Individual Home Buyers
C0322,Individual,30,Home,1347002.93,3,0,Individual Home Buyers
C0323,Individual,51,Investment,1230825.62,3,0,Individual Home Buyers
C0324,Individual,33,Home,1147121.25,3,0,Individual Home Buyers
C0325,Individual,43,Home,1205175.56,4,0,Individual Home Buyers
C0326,Individual,68,Investment,1321975.5,4,0,Individual Home Buyers
C0327,Individual,65,Home,1116366.72,4,1,Corporate Buyers
C0328,Individual,80,Home,1356560.31,4,0,Individual Home Buyers
C0329,Individual,28,Home,770062.4,3,1,Corporate Buyers
C0330,Individual,51,Home,1331463.63,4,0,Individual Home Buyers
C0331,Individual,42,Investment,1546334.4,4,0,Individual Home Buyers
C0332,Individual,37,Investment,1209987.46,3,0,Individual Home Buyers
C0333,Individual,71,Home,1118960.06,3,1,Corporate Buyers
C0334,Individual,76,Investment,1445655.93,4,0,Individual Home Buyers
C0335,Individual,51,Home,1478341.12,4,0,Individual Home Buyers
C0336,Individual,55,Investment,1163690.59,3,0,Individual Home Buyers
C0337,Individual,84,Home,759310.2,3,0,Individual Home Buyers
C0338,Individual,83,Home,1488671.13,4,0,Individual Home Buyers
C0339,Individual,63,Investment,1548824.23,4,0,Individual Home Buyers
C0340,Individual,86,Investment,1047500.42,3,0,Individual Home Buyers
C0341,Individual,44,Investment,1679555.42,4,0,Individual Home Buyers
C0342,Individual,52,Investment,1290567.39,3,0,Individual Home Buyers
C0343,Individual,74,Home,1630923.97,4,0,Individual Home Buyers
C0344,Individual,29,Home,1276344.68,4,1,Corporate Buyers
C0345,Individual,57,Home,1339687.25,3,0,Individual Home Buyers
C0346,Individual,63,Home,1174812.86,3,0,Individual Home Buyers
C0347,Individual,34,Home,1378006.45,3,0,Individual Home Buyers
C0348,Individual,44,Investment,1482633.92,4,0,Individual Home Buyers
C0349,Individual,51,Home,1065745.84,3,0,Individual Home Buyers
C0350,Individual,34,Home,1066408.3,3,0,Individual Home Buyers
C0351,Individual,65,Home,1551113.76,4,0,Individual Home Buyers
C0352,Individual,49,Investment,1339830.04,3,0,Individual Home Buyers
C0353,Individual,62,Home,889855.16,3,0,Individual Home Buyers
C0354,Individual,28,Home,962196.6,3,0,Individual Home Buyers
C0355,Individual,75,Investment,1029593.97,3,0,Individual Home Buyers
C0356,Individual,50,Home,964351.9,4,0,Individual Home Buyers
C0357,Individual,38,Home,970629.22,3,0,Individual Home Buyers
C0358,Individual,48,Home,1150919.74,3,1,Corporate Buyers
C0359,Individual,75,Investment,1098189.89,3,0,Individual Home Buyers
C0360,Individual,78,Home,1978026.48,4,0,Individual Home Buyers
C0361,Individual,68,Home,1468372.25,4,1,Corporate Buyers
C0362,Individual,26,Home,1129669.4,3,0,Individual Home Buyers
C0363,Individual,67,Investment,1232301.44,4,0,Individual Home Buyers
C0364,Individual,82,Home,1492505.18,4,0,Individual Home Buyers
C0365,Individual,64,Investment,951259.9,3,0,Individual Home Buyers
C0366,Individual,43,Home,1420135.32,3,0,Individual Home Buyers
C0367,Individual,62,Investment,1662617.88,4,0,Individual Home Buyers
C0368,Individual,34,Home,1494552.45,4,0,Individual Home Buyers
C0369,Individual,72,Home,1586439.08,4,0,Individual Home Buyers
C0370,Individual,69,Home,1613633.39,4,1,Corporate Buyers
C0371,Individual,56,Investment,827208.61,3,2,Small Corporate Segment
C0372,Individual,74,Investment,1280128.06,3,1,Corporate Buyers
C0373,Individual,33,Home,1047277.18,3,0,Individual Home Buyers
C0374,Individual,33,Investment,916825.86,4,1,Corporate Buyers
C0375,Individual,58,Investment,1178580.64,3,0,Individual Home Buyers
C0376,Individual,73,Home,1182808.29,3,0,Individual Home Buyers
C0377,Individual,28,Home,822780.32,3,0,Individual Home Buyers
C0378,Individual,69,Investment,812387.51,3,0,Individual Home Buyers
C0379,Company,49,Investment,1254919.36,4,0,Individual Home Buyers
C0380,Individual,53,Home,939708.87,3,0,Individual Home Buyers
C0381,Individual,65,Home,878913.19,3,0,Individual Home Buyers
C0382,Individual,51,Investment,980139.25,3,0,Individual Home Buyers
C0383,Company,41,Investment,968070.64,4,0,Individual Home Buyers
C0384,Individual,82,Home,1010761.74,3,0,Individual Home Buyers
C0385,Individual,57,Investment,1289646.41,3,1,Corporate Buyers
C0386,Individual,50,Home,1633972.21,3,0,Individual Home Buyers
C0387,Individual,52,Home,1992983.55,4,0,Individual Home Buyers
C0388,Individual,31,Home,961894.92,3,0,Individual Home Buyers
C0389,Individual,72,Home,1261549.09,4,0,Individual Home Buyers
C0390,Individual,84,Investment,1678762.07,4,1,Corporate Buyers
C0391,Individual,60,Home,1035012.91,3,0,Individual Home Buyers
C0392,Individual,49,Home,1015830.03,4,0,Individual Home Buyers
C0393,Individual,38,Home,1616556.78,4,0,Individual Home Buyers
C0394,Individual,72,Home,1258840,4,0,Individual Home Buyers
C0395,Individual,67,Home,1153134.48,3,0,Individual Home Buyers
C0396,Individual,26,Home,1181447.25,4,0,Individual Home Buyers
C0397,Individual,26,Home,793543.27,3,0,Individual Home Buyers
C0398,Individual,78,Home,1186693.85,4,0,Individual Home Buyers
C0399,Individual,42,Home,1229057.49,4,0,Individual Home Buyers
C0400,Individual,67,Home,1360152.99,4,0,Individual Home Buyers
C0401,Individual,57,Home,1020913.07,4,0,Individual Home Buyers
C0402,Individual,85,Home,1054166.95,3,0,Individual Home Buyers
C0403,Individual,63,Home,878792.98,3,1,Corporate Buyers
C0404,Individual,50,Investment,731788.96,3,1,Corporate Buyers
C0405,Company,57,Home,1310963.25,4,0,Individual Home Buyers
C0406,Individual,66,Home,1317165.12,4,0,Individual Home Buyers
C0407,Individual,44,Home,1254494.91,4,0,Individual Home Buyers
C0408,Individual,49,Home,1320497.01,3,0,Individual Home Buyers
C0409,Individual,54,Home,1816669.2,4,0,Individual Home Buyers
C0410,Individual,44,Home,1021706.02,3,1,Corporate Buyers
C0411,Individual,43,Home,896987.21,3,0,Individual Home Buyers
C0412,Individual,42,Home,1100376.25,3,1,Corporate Buyers
C0413,Individual,86,Home,1769126.22,4,1,Corporate Buyers
C0414,Individual,64,Home,1412148.94,4,0,Individual Home Buyers
C0415,Individual,46,Home,1305928.35,4,0,Individual Home Buyers
C0416,Company,45,Investment,1059532.51,3,1,Corporate Buyers
C0417,Individual,79,Home,1354773.96,3,0,Individual Home Buyers
C0418,Individual,30,Home,1629486.83,4,0,Individual Home Buyers
C0419,Individual,64,Home,1174012.19,4,0,Individual Home Buyers
C0420,Individual,32,Home,1260096.16,3,0,Individual Home Buyers
C0421,Individual,51,Investment,1495763.37,4,1,Corporate Buyers
C0422,Company,53,Home,1653171.62,4,0,Individual Home Buyers
